,player_name,pro_id,cbb_id,made_asg
913,Skal Labissière,labissk01,skal-labissiere-1,0.0
914,Dejounte Murray,murrade01,dejounte-murray-1,0.0
915,Damian Jones,jonesda03,damian-jones-1,0.0
916,Deyonta Davis,davisde01,deyonta-davis-1,0.0
917,Ivica Zubac,zubaciv01,,0.0
918,Cheick Diallo,diallch01,cheick-diallo-1,0.0
919,Tyler Ulis,ulisty01,tyler-ulis-1,0.0
920,Rade Zagorac,zagorra01,,0.0
921,Malcolm Brogdon,brogdma01,malcolm-brogdon-1,0.0
922,Chinanu Onuaku,onuakch01,chinanu-onuaku-1,0.0
923,Patrick McCaw,mccawpa01,patrick-mccaw-1,0.0
924,David Michineau,michida01,,0.0
925,Diamond Stone,stonedi01,diamond-stone-1,0.0
926,Stephen Zimmerman,zimmest01,stephen-zimmermanjr-1,0.0
927,Isaiah Whitehead,whiteis01,isaiah-whitehead-1,0.0
928,Zhou Qi,qizh01,,0.0
929,Isaïa Cordinier,cordiis01,,0.0
930,Demetrius Jackson,jacksde01,demetrius-jackson-2,0.0
931,A.J. Hammons,hammoaj01,aj-hammons-1,0.0
932,Jake Layman,laymaja01,jake-layman-1,0.0
933,Paul Zipser,zipsepa01,,0.0
934,Michael Gbinije,gbinimi01,michael-gbinije-1,0.0
