,year,player_id,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
102,2000,curryde01,14.9,0.542,0.533,0.07,1.1,9.4,5.1,14.1,1.5,0.6,7.9,20.5,1.6,0.6,2.2,0.098,1.9,-1.1,0.8,0.8
103,2000,currymi01,8.6,0.559,0.013,0.443,1.5,6.0,3.7,8.3,1.0,0.2,13.9,14.3,1.6,0.5,2.0,0.06,-3.2,-0.8,-4.0,-0.8
104,2000,dampier01,9.6,0.427,0.0,0.295,9.6,19.5,14.2,6.2,0.8,2.1,12.9,19.1,-0.3,0.3,-0.1,-0.006,-4.7,-1.9,-6.6,-0.6
105,2000,daniean01,15.2,0.541,0.192,0.294,1.6,6.4,4.1,24.4,2.4,0.3,13.0,17.2,1.9,1.7,3.6,0.144,0.3,1.2,1.5,1.0
106,2000,davidko01,10.2,0.492,0.02,0.351,5.7,13.7,9.6,7.1,1.6,0.3,15.4,20.9,-0.1,0.4,0.2,0.025,-3.6,-1.3,-4.9,-0.3
107,2000,davidko01,16.9,0.511,0.0,0.444,14.2,14.6,14.4,5.2,6.5,2.3,15.7,17.9,0.0,0.1,0.1,0.154,-1.2,4.8,3.7,0.0
108,2000,davisan01,15.1,0.52,0.0,0.521,10.3,21.5,15.7,6.7,0.8,2.8,12.1,17.8,3.5,2.6,6.1,0.118,-1.0,-1.0,-2.0,0.0
109,2000,davisba01,12.9,0.486,0.256,0.353,3.6,8.4,6.1,32.6,3.3,0.9,21.9,18.9,-0.1,2.2,2.1,0.065,-2.0,1.2,-0.8,0.5
110,2000,davisbe01,8.5,0.333,0.0,0.0,15.5,29.8,22.8,13.2,2.3,3.3,33.3,18.0,-0.1,0.1,0.0,-0.033,-6.5,1.6,-4.9,0.0
111,2000,davisda01,17.4,0.537,0.0,0.337,14.0,24.0,19.2,4.8,1.3,2.9,11.6,16.7,3.8,3.3,7.1,0.161,0.7,0.1,0.8,1.5
112,2000,davisem01,10.2,0.458,0.468,0.173,2.3,13.4,7.8,14.9,2.8,0.5,15.7,17.7,-0.3,0.8,0.5,0.037,-3.0,1.2,-1.9,0.0
113,2000,davishu01,10.8,0.585,0.36,0.166,1.0,6.9,4.0,11.2,0.7,0.1,12.3,13.8,2.5,0.0,2.5,0.067,-0.4,-1.6,-2.0,0.0
114,2000,davisma02,9.8,0.453,0.015,0.343,6.6,12.8,9.5,12.8,2.7,0.6,20.2,17.9,-0.4,0.3,-0.1,-0.012,-3.9,-0.8,-4.6,-0.3
115,2000,davisri01,15.3,0.542,0.021,0.273,5.9,10.4,8.2,18.9,2.7,1.0,18.0,20.1,0.3,0.8,1.1,0.092,-0.6,0.3,-0.3,0.2
116,2000,dayto01,13.2,0.524,0.5,0.327,3.7,11.4,7.6,10.7,2.4,1.7,11.7,20.0,0.9,1.6,2.5,0.125,-0.5,1.2,0.7,0.6
117,2000,declean01,11.4,0.53,0.0,0.361,9.4,17.5,13.4,5.1,1.7,2.6,17.4,14.8,0.6,2.3,2.9,0.077,-2.9,0.6,-2.3,-0.2
118,2000,delnevi01,11.7,0.51,0.074,0.12,0.9,9.4,5.2,19.6,1.5,0.0,12.3,14.3,1.3,0.2,1.5,0.061,-1.3,-0.8,-2.1,0.0
119,2000,delkto01,14.1,0.485,0.143,0.211,5.5,8.0,6.7,12.4,2.5,0.5,9.5,20.6,0.5,0.7,1.3,0.09,-0.9,0.6,-0.3,0.3
120,2000,dialde01,12.0,0.415,0.261,0.109,17.5,13.7,15.6,9.3,0.6,0.7,11.1,26.3,-0.1,0.1,0.1,0.032,-1.5,-3.1,-4.6,-0.1
121,2000,dickemi01,15.6,0.53,0.229,0.255,3.0,7.8,5.4,12.2,2.0,1.0,10.5,23.1,4.5,1.0,5.5,0.085,1.0,-1.0,0.0,1.6
122,2000,divacvl01,18.0,0.552,0.034,0.436,7.6,21.3,14.4,15.4,2.1,2.8,17.3,19.3,3.0,4.1,7.2,0.145,0.4,2.4,2.8,2.9
123,2000,doleami01,13.3,0.49,0.004,0.178,7.3,20.0,13.6,7.6,1.1,1.8,10.1,20.2,1.1,1.9,3.0,0.106,-2.6,0.0,-2.6,-0.2
124,2000,douglsh01,15.4,0.586,0.178,0.311,4.5,6.0,5.2,18.2,2.9,0.0,19.0,18.2,0.5,0.2,0.6,0.1,0.1,0.2,0.3,0.2
125,2000,drewbr01,10.9,0.481,0.395,0.128,2.0,6.8,4.5,19.7,1.6,0.1,13.1,17.1,0.9,0.5,1.3,0.05,-1.2,-0.9,-2.2,-0.1
126,2000,dudlech02,6.1,0.349,0.0,0.403,16.8,18.3,17.6,1.6,0.8,3.5,18.6,10.0,-0.2,0.7,0.5,0.056,-5.3,0.2,-5.2,-0.4
127,2000,duncati01,24.8,0.555,0.009,0.471,10.8,24.8,18.1,15.5,1.2,4.0,13.5,28.7,6.7,6.4,13.0,0.218,3.8,1.8,5.6,5.5
128,2000,eisleho01,11.5,0.492,0.241,0.151,1.4,8.4,4.9,26.9,1.5,0.3,15.5,18.8,1.3,1.8,3.0,0.069,-1.1,-0.5,-1.7,0.2
129,2000,ekeziob01,11.8,0.538,0.0,0.727,11.5,19.9,15.7,3.7,1.4,0.8,18.3,18.4,0.2,0.2,0.5,0.063,-3.1,-1.7,-4.8,-0.2
130,2000,eliema01,10.4,0.565,0.407,0.326,2.6,9.9,6.4,13.3,1.7,0.3,19.9,13.6,1.5,3.0,4.6,0.099,-1.4,1.2,-0.3,1.0
131,2000,elliose01,8.8,0.475,0.349,0.302,1.8,11.4,6.8,11.1,1.6,0.4,13.7,16.4,0.0,0.6,0.5,0.067,-2.8,0.2,-2.6,-0.1
132,2000,ellisda01,12.1,0.586,0.644,0.089,2.5,9.7,6.1,2.8,1.0,0.0,6.3,15.4,0.6,0.0,0.6,0.087,1.3,-2.6,-1.3,0.1
133,2000,ellisda01,4.2,0.46,0.603,0.069,2.9,7.3,5.2,5.0,1.5,0.0,17.9,13.6,-0.2,0.2,0.0,-0.01,-4.4,-1.3,-5.7,-0.2
134,2000,ellisla01,13.9,0.481,0.045,0.205,8.2,16.1,12.1,7.6,1.3,1.3,9.3,18.9,1.1,0.8,1.9,0.07,-1.0,-0.9,-1.9,0.0
135,2000,ellispe01,9.0,0.507,0.0,0.488,11.7,17.0,14.2,6.9,1.9,2.2,19.9,10.5,0.2,0.3,0.5,0.088,-4.8,0.2,-4.6,-0.2
136,2000,eschmev01,11.8,0.534,0.0,0.417,11.5,21.0,16.1,8.7,1.1,3.9,19.8,12.7,0.3,0.4,0.7,0.095,-4.2,0.6,-3.5,-0.1
